image,caption,comment
mu1,施工前(5/20)現状
mu2,施工前外壁の状態
mu3,現状
mu4,現状
mu5,足場組み(5/28)
mu6,高圧洗浄(5/31),洗浄により劣化した塗膜や汚れが綺麗に落ちます。
mu7,高圧洗浄
mu5_1,外壁の高圧洗浄,外壁も念入りに洗浄
mu8,高圧洗浄のベランダ
mu9,ベランダの洗浄
mu10,さらにきれいに(5/31),細部に至るまで汚れを落とします。
mu11,屋根の下・中塗り(6/1),洗浄後は塗装のノリも抜群です。
mu12,屋根の中・上塗り,洗浄後、屋根３回塗りで輝きと艶が戻ります。
imu33,外壁の下塗り(6/5),下塗りは中塗りの接着力を高めます。
mu38,外壁の中・上塗り(6/5),新築の趣きがでてきます。
imu32,ベランダの下塗り(6/5)
mu37,ベランダの中・上塗り
mu13,外壁の中・上塗り,外壁にも艶が蘇ります。
mu14,外壁の中・上塗装,下塗りの後、中塗り、上塗りの３回塗り
mu15,外壁塗装,上塗りで更に壁面の艶が戻ります。
mu16,艶が出るまで念入りに(6/9),
mu17,屋根の奥の外壁まで塗装(6/9),細部に亘り手塗で仕上げます。
mu18_1,軒天補修1,軒天の補修も塗装と同時に行います。丁寧に材料をカット
mu19,軒天補修2
mu20,軒天補修3,駐車場の軒天。後で塗装します。
mu34,駐車場の外壁の現状,気になるところもしっかり補修施工
mu21,駐車場ポリカの補修,破れたポリカの張り替えも一緒に行います。
mu35,踊場も補修,駐車場、階段上の踊り場もチェック
mu22,階段上の踊り場も補修,駐車場、階段上の踊り場も土間コン打ち
imu39,細部のチェック,養生を剥がして細部のチェック
mu23,仕上げ塗装
mu24,仕上げ塗装
mu25,仕上げ塗装
mi60,木部施工前(5/20),木の地肌が見えはじめています。
mi600,施工後(6/10),|木部防水塗装で地肌を守ります。
mi61,玄関庇現状(6/5)
mi62,塗装後の玄関庇,落ち着いた木造の味が引き立つ
mi59,軒天張り(6/1),化粧板の経年劣化が進んでいます。
mi64,軒天張り替え(6/12),一枚一枚、手作業で丁寧に仕上げます。
mi65,軒天の張替え後(6/14),新しい軒天、新築の輝き。
mi66,軒天塗装前,軒天ケイカル板の塗装前
mi67,軒天（ケイカル板の上塗り）,ピカピカの軒天に生まれ変わります
mu110,ベランダの施工前,洗浄後のベランダ
mi68,養生して塗装(6/8),養生をはみ出しを防ぎます。
mi69,ベランダの仕上がり(6/10),洗浄後は塗装のノリも抜群です。
mi63,外壁部上塗り(5/20),ベランダの外壁の現状
mi73,ベランダ部上塗り(6/15),新築の輝きと艶が蘇ります。
mi71,外壁の上塗り仕上げ(6/15),壁面も新築以上の輝きに
mi72,外壁上塗り(6/15),西面の外壁もつやつや。
mi70,外壁の上塗り(6/5),ベランダの仕上げ
mi7_6,外壁仕上がり,
mi7_9,外壁の仕上がり,新築の外壁に大変身。
mi76,外壁の上塗装仕上げ,
mi77,付帯塗装の仕上げ,手塗りで仕上げる職人技
mi78,南側壁面の塗装仕上がり,上塗りで更に壁面の艶が戻ります。
mi74,外壁仕上がり,
mi75,東面外壁の仕上がり,新築の外壁に大変身。
