caption,comment,image
現状 1 (11/11),,1ah
現状 2 (11/11),,2ah
足場組み (11/17),,3ah
飛散防止シート取付 (11/19),,4ah
シート取付 1  (11/19),,4_1ah
シート取付 2 (11/19),,5ah
シート取付 3 (11/19),,6ah
シート取付完了 (11/19),,7ah
高圧洗浄 1 (11/19),,8ah
高圧洗浄 2 (11/19),,9ah
高圧洗浄 3 (11/19),,10ah
養生 1 (11/28),,121h
養生 2 (11/28),,121ha
養生 3 (11/28),,121hb
養生 4 (11/28),,121hc
下・中塗り 1 (12/01),,121hd
下・中塗り 2 (12/01),,121he
下・中塗り 3 (12/01),,121hf
ローラー塗りで仕上(12/01),,121hg
下・中塗り 5 (12/01),,121hi
下・中塗り 6 (12/01),,121hj
足場外し 1 (12/06),,12hs
足場外し 2 (12/06),,11hs
足場外し 3 (12/06),,13hs
完工 1 (12/07),,14hm
完工 2 (12/07),,15hs
完工 3 (12/07),,16hs
完工 4 (12/07),,17hs
完工 5 (12/07),,19ms
