caption,  comment,  image
現状, , ot001
外壁の現状 , , ot002
屋根の現状1, , ot003
屋根の現状2, , ot004
屋根の板金張り替え, , ot005
水切りの施工, , ot002_1
水切り板金加工 , , ot002_2
サイディング貼り 1, , ot002_3
サイディング貼り 2, , ot002_4
高圧洗浄, , ot009
外壁の高圧洗浄 , , ot010
屋根の現状, , ot011
高圧洗浄 正面, , ot012
外壁のサイディング貼り, , ot002_1
水切り板金加工 , , ot002_2
西面, , ot002_3
西面(施工後), , ot031
北面, , ot002_4
北側(施工後), , ot030
東面, , ot013
丁寧に貼りつける, , ot014
西面 , , ot015
正面, , ot016
正面と東側 , , ot028
屋根の錆止め, , ot19_1
外壁の中・上塗り, , ot019
外壁の上塗り, , ot020
屋根の上塗り, , ot021
完成, , ot22
軒天の塗装, , ot023
樋の塗装 , , ot024
屋根上塗り, 屋根に輝きが戻りました。, ot025
全景1, , ot27
全景2, , ot026
全景 正面 完成, , ot209   
