caption, comment, image
現状1, , s005.jpg
現状2, , s002.jpg
現状3, , s004.jpg
軒天の貼替え1, , s006.jpg
軒天の貼替え2, , sn1.jpg
軒天の貼替え3, , sn2.jpg
木部補修と塗装, , sn3.jpg
外壁木部塗装と軒天補修, , sn5.jpg
軒天の補修と破風・柱塗装, , sn4.jpg
破風板の塗装, , sn6.jpg
柱・桁・垂木の塗装, , sn7.jpg
外壁木部塗装, , sn8.jpg
木部細部塗装, 細部にわたり念入りにやります。, sn11.jpg
木部格子塗装, , sn9.jpg
木部垂木・桁・樋の塗装, , sn10.jpg
庇・鼻隠し塗装・軒天補修, , sn12.jpg
庇塗装, , sn13.jpg
庇軒天補修, , sn18.jpg
軒天・広小舞・垂木塗装, , sn14.jpg
玄関柱塗装, , sn15.jpg
勝手口軒天補修, 追加補修(施工前), sn16.jpg
勝手口軒天補修, 追加補修(施工後), sn17.jpg
換気扇フードの交換, 施工前(塗装出来ない場合は交換), sn19.jpg
換気扇フードの交換, 施工後, sn20.jpg
勝手口軒天完成, , sn22.jpg
玄関部軒天完成, , sn23.jpg
