caption, comment, image
現状1, 花壇の撤去と除草を行い、土間コンを打って駐輪場の設置をします。, b1.jpg
現状2, , b2.jpg
現状3, , b3.jpg
花壇の撤去, 土をすいて土間コンを打つスペースを作ります。, b4.jpg
ブロックで補完, 花壇を撤去した後の境目をブロックを補完し、排水溝は土間の高さに合わせ、後でカットします。, b5.jpg
玄関回りの現状, 玄関のステップ下段の除草を行い、砂利を敷いて雑草がはえないようにします。, b7.jpg
駐車場の現状, 除草して砂利を入れます, b8.jpg
玄関北側の現状, 除草し除草剤を捲く, b9.jpg
駐輪場柱を固定, , b10.jpg
棟金物の設置, , b11.jpg
既存の漆喰撤去, , b12.jpg
屋根を設置, , b13.jpg
屋根のポリカ貼り, , b14.jpg
屋根のポリカ貼り, , b15.jpg
駐輪場の完成, 屋根を貼って完成, b17.jpg
駐輪場の完成, , b16.jpg
土間コン打ち完了, 土間コンを乾かします, b18.jpg
土間コン打ち完成, , b18_1.jpg
玄関階段下の砂利入れ, 玄関回りの砂利入れはデザイン性を考えて白めの色を使用しました。, b19.jpg
玄関階段下の砂利入れ, , b19_2.jpg
スリット中の砂利入れ, , b20.jpg
スリット中の砂利入れ, 駐車場のスリットの回りに砂利を入れ、雑草の生えないようにしまします。デザイン性を考えて玄関回りと砂利の色を変えてみました。, b21.jpg
駐輪場完成, 全景, b23.jpg
